epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202124,2021-06-19,443,SP,Marília,3529005,city,25131,10445.5713,0,744,0,0.0296,240590,False,True
202124,2021-06-18,442,SP,Marília,3529005,city,25131,10445.5713,566,744,10,0.0296,240590,True,False
202124,2021-06-17,441,SP,Marília,3529005,city,24565,10210.31631,0,734,0,0.0299,240590,False,True
202124,2021-06-16,440,SP,Marília,3529005,city,24565,10210.31631,155,734,6,0.0299,240590,False,False
202124,2021-06-15,439,SP,Marília,3529005,city,24410,10145.89135,215,728,21,0.0298,240590,False,False
202124,2021-06-14,438,SP,Marília,3529005,city,24195,10056.5277,0,707,0,0.0292,240590,False,True
202124,2021-06-13,437,SP,Marília,3529005,city,24195,10056.5277,44,707,1,0.0292,240590,False,False
202123,2021-06-12,436,SP,Marília,3529005,city,24151,10038.23933,295,706,8,0.0292,240590,False,False
202123,2021-06-11,435,SP,Marília,3529005,city,23856,9915.62409,233,698,7,0.0293,240590,False,False
202123,2021-06-10,434,SP,Marília,3529005,city,23623,9818.77884,353,691,14,0.0293,240590,False,False
202123,2021-06-09,433,SP,Marília,3529005,city,23270,9672.0562,28,677,13,0.0291,240590,False,False
202123,2021-06-08,432,SP,Marília,3529005,city,23242,9660.41814,313,664,6,0.0286,240590,False,False
202123,2021-06-07,431,SP,Marília,3529005,city,22929,9530.32129,4,658,0,0.0287,240590,False,False
202123,2021-06-06,430,SP,Marília,3529005,city,22925,9528.65871,72,658,0,0.0287,240590,False,False
202122,2021-06-05,429,SP,Marília,3529005,city,22853,9498.73228,72,658,8,0.0288,240590,False,False
202122,2021-06-04,428,SP,Marília,3529005,city,22781,9468.80585,2,650,0,0.0285,240590,False,False
202122,2021-06-03,427,SP,Marília,3529005,city,22779,9467.97456,242,650,8,0.0285,240590,False,False
202122,2021-06-02,426,SP,Marília,3529005,city,22537,9367.3885,503,642,10,0.0285,240590,False,False
202122,2021-06-01,425,SP,Marília,3529005,city,22034,9158.31913,0,632,0,0.0287,240590,False,True
202122,2021-05-31,424,SP,Marília,3529005,city,22034,9158.31913,0,632,0,0.0287,240590,False,False
202122,2021-05-30,423,SP,Marília,3529005,city,22034,9158.31913,7,632,0,0.0287,240590,False,False
202121,2021-05-29,422,SP,Marília,3529005,city,22027,9155.40962,146,632,8,0.0287,240590,False,False
202121,2021-05-28,421,SP,Marília,3529005,city,21881,9094.72547,20,624,5,0.0285,240590,False,False
202121,2021-05-27,420,SP,Marília,3529005,city,21861,9086.41257,79,619,4,0.0283,240590,False,False
202121,2021-05-26,419,SP,Marília,3529005,city,21782,9053.57662,70,615,9,0.0282,240590,False,False
202121,2021-05-25,418,SP,Marília,3529005,city,21712,9024.48148,338,606,7,0.0279,240590,False,False
202121,2021-05-24,417,SP,Marília,3529005,city,21374,8883.99352,4,599,0,0.028,240590,False,False
202121,2021-05-23,416,SP,Marília,3529005,city,21370,8882.33094,19,599,0,0.028,240590,False,False
202120,2021-05-22,415,SP,Marília,3529005,city,21351,8874.43368,208,599,7,0.0281,240590,False,False
202120,2021-05-21,414,SP,Marília,3529005,city,21143,8787.97955,259,592,1,0.028,240590,False,False
202120,2021-05-20,413,SP,Marília,3529005,city,20884,8680.32753,179,591,2,0.0283,240590,False,False
202120,2021-05-19,412,SP,Marília,3529005,city,20705,8605.9271,90,589,5,0.0284,240590,False,False
202120,2021-05-18,411,SP,Marília,3529005,city,20615,8568.51906,302,584,8,0.0283,240590,False,False
202120,2021-05-17,410,SP,Marília,3529005,city,20313,8442.99431,6,576,1,0.0284,240590,False,False
202120,2021-05-16,409,SP,Marília,3529005,city,20307,8440.50044,0,575,0,0.0283,240590,False,True
202119,2021-05-15,408,SP,Marília,3529005,city,20307,8440.50044,191,575,6,0.0283,240590,False,False
202119,2021-05-14,407,SP,Marília,3529005,city,20116,8361.11227,91,569,12,0.0283,240590,False,False
202119,2021-05-13,406,SP,Marília,3529005,city,20025,8323.28858,206,557,10,0.0278,240590,False,False
202119,2021-05-12,405,SP,Marília,3529005,city,19819,8237.66574,109,547,7,0.0276,240590,False,False
202119,2021-05-11,404,SP,Marília,3529005,city,19710,8192.36045,271,540,8,0.0274,240590,False,False
202119,2021-05-10,403,SP,Marília,3529005,city,19439,8079.72069,5,532,0,0.0274,240590,False,False
202119,2021-05-09,402,SP,Marília,3529005,city,19434,8077.64246,10,532,0,0.0274,240590,False,False
202118,2021-05-08,401,SP,Marília,3529005,city,19424,8073.48601,170,532,4,0.0274,240590,False,False
202118,2021-05-07,400,SP,Marília,3529005,city,19254,8002.82639,203,528,4,0.0274,240590,False,False
202118,2021-05-06,399,SP,Marília,3529005,city,19051,7918.45048,79,524,9,0.0275,240590,False,False
202118,2021-05-05,398,SP,Marília,3529005,city,18972,7885.61453,97,515,11,0.0271,240590,False,False
202118,2021-05-04,397,SP,Marília,3529005,city,18875,7845.29698,208,504,13,0.0267,240590,False,False
202118,2021-05-03,396,SP,Marília,3529005,city,18667,7758.84284,2,491,0,0.0263,240590,False,False
202118,2021-05-02,395,SP,Marília,3529005,city,18665,7758.01155,220,491,6,0.0263,240590,False,False
202117,2021-05-01,394,SP,Marília,3529005,city,18445,7666.56968,0,485,0,0.0263,240590,False,True
202117,2021-04-30,393,SP,Marília,3529005,city,18445,7666.56968,178,485,6,0.0263,240590,False,False
202117,2021-04-29,392,SP,Marília,3529005,city,18267,7592.5849,155,479,7,0.0262,240590,False,False
202117,2021-04-28,391,SP,Marília,3529005,city,18112,7528.15994,46,472,8,0.0261,240590,False,False
202117,2021-04-27,390,SP,Marília,3529005,city,18066,7509.04028,232,464,20,0.0257,240590,False,False
202117,2021-04-26,389,SP,Marília,3529005,city,17834,7412.61067,3,444,0,0.0249,240590,False,False
202117,2021-04-25,388,SP,Marília,3529005,city,17831,7411.36373,146,444,6,0.0249,240590,False,False
202116,2021-04-24,387,SP,Marília,3529005,city,17685,7350.67958,0,438,0,0.0248,240590,False,True
202116,2021-04-23,386,SP,Marília,3529005,city,17685,7350.67958,252,438,10,0.0248,240590,False,False
202116,2021-04-22,385,SP,Marília,3529005,city,17433,7245.93707,26,428,2,0.0246,240590,False,False
202116,2021-04-21,384,SP,Marília,3529005,city,17407,7235.1303,104,426,4,0.0245,240590,False,False
202116,2021-04-20,383,SP,Marília,3529005,city,17303,7191.90324,256,422,15,0.0244,240590,False,False
202116,2021-04-19,382,SP,Marília,3529005,city,17047,7085.49815,16,407,0,0.0239,240590,False,False
202116,2021-04-18,381,SP,Marília,3529005,city,17031,7078.84783,46,407,0,0.0239,240590,False,False
202115,2021-04-17,380,SP,Marília,3529005,city,16985,7059.72817,193,407,9,0.024,240590,False,False
202115,2021-04-16,379,SP,Marília,3529005,city,16792,6979.50871,241,398,8,0.0237,240590,False,False
202115,2021-04-15,378,SP,Marília,3529005,city,16551,6879.33829,165,390,13,0.0236,240590,False,False
202115,2021-04-14,377,SP,Marília,3529005,city,16386,6810.75689,123,377,3,0.023,240590,False,False
202115,2021-04-13,376,SP,Marília,3529005,city,16263,6759.63257,227,374,5,0.023,240590,False,False
202115,2021-04-12,375,SP,Marília,3529005,city,16036,6665.28118,4,369,0,0.023,240590,False,False
202115,2021-04-11,374,SP,Marília,3529005,city,16032,6663.6186,11,369,4,0.023,240590,False,False
202114,2021-04-10,373,SP,Marília,3529005,city,16021,6659.04651,182,365,2,0.0228,240590,False,False
202114,2021-04-09,372,SP,Marília,3529005,city,15839,6583.39914,184,363,7,0.0229,240590,False,False
202114,2021-04-08,371,SP,Marília,3529005,city,15655,6506.92049,251,356,5,0.0227,240590,False,False
202114,2021-04-07,370,SP,Marília,3529005,city,15404,6402.59362,95,351,16,0.0228,240590,False,False
202114,2021-04-06,369,SP,Marília,3529005,city,15309,6363.10736,223,335,19,0.0219,240590,False,False
202114,2021-04-05,368,SP,Marília,3529005,city,15086,6270.41855,4,316,0,0.0209,240590,False,False
202114,2021-04-04,367,SP,Marília,3529005,city,15082,6268.75597,47,316,0,0.021,240590,False,False
202113,2021-04-03,366,SP,Marília,3529005,city,15035,6249.22067,57,316,0,0.021,240590,False,False
202113,2021-04-02,365,SP,Marília,3529005,city,14978,6225.52891,169,316,7,0.0211,240590,False,False
202113,2021-04-01,364,SP,Marília,3529005,city,14809,6155.28492,158,309,10,0.0209,240590,False,False
202113,2021-03-31,363,SP,Marília,3529005,city,14651,6089.61303,123,299,20,0.0204,240590,False,False
202113,2021-03-30,362,SP,Marília,3529005,city,14528,6038.48872,222,279,2,0.0192,240590,False,False
202113,2021-03-29,361,SP,Marília,3529005,city,14306,5946.21555,2,277,4,0.0194,240590,False,False
202113,2021-03-28,360,SP,Marília,3529005,city,14304,5945.38426,43,273,1,0.0191,240590,False,False
202112,2021-03-27,359,SP,Marília,3529005,city,14261,5927.51153,172,272,5,0.0191,240590,False,False
202112,2021-03-26,358,SP,Marília,3529005,city,14089,5856.02062,190,267,12,0.019,240590,False,False
202112,2021-03-25,357,SP,Marília,3529005,city,13899,5777.04809,100,255,2,0.0183,240590,False,False
202112,2021-03-24,356,SP,Marília,3529005,city,13799,5735.4836,57,253,0,0.0183,240590,False,False
202112,2021-03-23,355,SP,Marília,3529005,city,13742,5711.79185,183,253,2,0.0184,240590,False,False
202112,2021-03-22,354,SP,Marília,3529005,city,13559,5635.72883,15,251,0,0.0185,240590,False,False
202112,2021-03-21,353,SP,Marília,3529005,city,13544,5629.49416,57,251,0,0.0185,240590,False,False
202111,2021-03-20,352,SP,Marília,3529005,city,13487,5605.8024,118,251,2,0.0186,240590,False,False
202111,2021-03-19,351,SP,Marília,3529005,city,13369,5556.75631,190,249,1,0.0186,240590,False,False
202111,2021-03-18,350,SP,Marília,3529005,city,13179,5477.78378,87,248,4,0.0188,240590,False,False
202111,2021-03-17,349,SP,Marília,3529005,city,13092,5441.62268,65,244,5,0.0186,240590,False,False
